"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계
"범죄별(1)",범죄별(2),범죄별(3),계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계
"형법범",재산범죄,배임,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",재산범죄,손괴,1124,1009,115,751,679,72,30,6,6,-,5,5,-,19,15,4,236,212,24,-,107,1077,962,115,725,650,75,29,3,3,-,6,6,-,20,14,6,212,194,18,-,111,1127,1008,119,727,660,67,29,6,5,1,7,7,-,16,15,1,182,157,25,-,189,1335,1173,162,948,847,101,37,6,5,1,9,9,-,22,18,4,195,172,23,-,155
"형법범",강력범죄(흉악),소계,3665,3422,243,2820,2621,199,65,6,5,1,29,29,-,30,28,2,448,432,16,-,332,3134,2917,217,2473,2286,187,75,13,12,1,34,34,-,28,25,3,277,274,3,-,309,3606,3385,221,2869,2696,173,67,10,10,-,17,17,-,40,37,3,236,227,9,-,434,4893,4615,278,3922,3703,219,67,8,8,-,25,25,-,34,31,3,220,212,8,-,684
"형법범",강력범죄(흉악),살인,20,12,8,14,7,7,2,-,-,-,-,-,-,2,2,-,3,3,-,-,1,9,7,2,6,4,2,3,1,1,-,1,1,-,1,1,-,-,-,-,-,-,11,10,1,10,9,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,15,14,1,5,5,-,2,1,1,-,-,-,-,1,1,-,2,1,1,-,6
"형법범",강력범죄(흉악),강도,366,276,90,348,262,86,2,1,1,-,-,-,-,1,-,1,8,6,2,-,8,324,252,72,308,237,71,3,-,-,-,-,-,-,3,3,-,5,5,-,-,8,178,140,38,170,133,37,-,-,-,-,-,-,-,-,-,-,3,3,-,-,5,169,136,33,161,129,32,1,-,-,-,-,-,-,1,-,1,6,6,-,-,1
"형법범",강력범죄(흉악),방화,99,91,8,85,79,6,6,2,1,1,1,1,-,3,3,-,2,2,-,-,6,99,92,7,80,75,5,9,4,3,1,2,2,-,3,2,1,4,4,-,-,6,76,67,9,64,57,7,4,-,-,-,1,1,-,3,1,2,3,3,-,-,5,95,80,15,86,73,13,5,1,1,-,2,2,-,2,1,1,2,1,1,-,2
"형법범",강력범죄(흉악),성폭력,3180,3043,137,2373,2273,100,55,3,3,-,28,28,-,24,23,1,435,421,14,-,317,2702,2566,136,2079,1970,109,60,8,8,-,31,31,-,21,19,2,268,265,3,-,295,3341,3168,173,2625,2497,128,62,10,10,-,15,15,-,37,36,1,230,221,9,-,424,4614,4385,229,3670,3496,174,59,6,6,-,23,23,-,30,29,1,210,204,6,-,675
"형법범",강력범죄(폭력),소계,18622,14366,4256,13757,10525,3232,103,24,16,8,19,16,3,60,52,8,2219,1764,455,-,2543,14744,11594,3150,10876,8536,2340,120,18,16,2,20,18,2,82,73,9,1786,1440,346,-,1962,13614,10554,3060,9512,7354,2158,130,22,19,3,27,25,2,81,58,23,1382,1071,311,-,2590,15429,12164,3265,11566,9112,2454,158,42,34,8,24,18,6,92,73,19,1299,1033,266,-,2406
"형법범",강력범죄(폭력),폭행,10139,7628,2511,6705,4951,1754,67,16,11,5,12,9,3,39,33,6,1349,1038,311,-,2018,7830,5907,1923,5122,3802,1320,72,10,9,1,15,15,-,47,40,7,1087,851,236,-,1549,7360,5459,1901,4551,3296,1255,70,11,9,2,12,11,1,47,32,15,780,580,200,-,1959,8513,6478,2035,5773,4346,1427,90,23,18,5,14,9,5,53,39,14,758,578,180,-,1892
"형법범",강력범죄(폭력),상해,4995,3898,1097,3983,3063,920,18,5,3,2,5,5,-,8,7,1,798,664,134,-,196,3616,2944,672,2836,2290,546,24,3,3,-,2,2,-,19,18,1,619,521,98,-,137,3230,2556,674,2532,1991,541,28,6,6,-,6,6,-,16,12,4,505,413,92,-,165,3415,2782,633,2819,2294,525,28,7,5,2,5,4,1,16,13,3,432,357,75,-,136
