"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",강력범죄(흉악),살인,11,2,-,-,-,1,-,1,-,9,1,2,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,1,-,-,-,5,-,-,-,4,1,-,-,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"형법범",강력범죄(흉악),강도,244,131,14,35,32,37,10,3,-,113,12,22,19,34,17,6,3,198,113,24,22,19,25,19,3,1,85,11,19,23,20,11,1,-,103,56,15,7,6,18,8,-,2,47,9,6,6,20,5,1,-,101,46,4,13,10,10,3,5,1,55,6,21,12,12,1,2,1
"형법범",강력범죄(흉악),방화,22,9,2,3,-,2,2,-,-,13,3,1,3,2,-,1,3,23,10,3,1,1,4,-,1,-,13,1,5,1,1,2,2,1,24,6,-,4,-,-,2,-,-,18,4,6,2,4,2,-,-,26,17,4,1,1,4,6,0,1,9,0,1,2,6,0,0,0
"형법범",강력범죄(흉악),성폭력,597,252,21,26,39,85,34,37,10,345,35,39,40,111,54,49,17,608,269,26,40,37,98,45,16,7,339,35,44,49,121,45,27,18,581,224,21,32,36,60,45,20,10,357,35,34,50,127,60,33,18,643,315,30,44,37,121,42,32,9,328,28,47,50,121,40,25,17
"형법범",강력범죄(폭력),소계,6647,3313,342,567,544,1020,508,257,75,3334,332,551,463,1081,558,260,89,5733,2959,351,547,488,831,447,219,76,2774,339,509,436,849,370,189,82,5071,2234,253,383,344,705,312,163,74,2837,293,499,382,892,444,240,87,5397,2450,354,457,435,732,287,141,44,2947,380,555,397,906,421,224,64
"형법범",강력범죄(폭력),폭행,3221,1625,152,240,248,505,299,136,45,1596,133,256,226,548,247,132,54,2635,1361,135,227,214,391,228,122,44,1274,101,233,199,426,177,98,40,2372,1017,88,175,150,338,142,88,36,1355,122,231,177,442,218,118,47,2637,1170,162,211,185,370,140,74,28,1467,179,272,206,441,218,113,38
"형법범",강력범죄(폭력),상해,1912,929,81,160,153,304,144,74,13,983,95,137,138,308,198,86,21,1560,790,93,144,115,240,125,52,21,770,112,127,117,228,109,49,28,1368,619,63,94,96,198,98,46,24,749,71,125,93,225,131,82,22,1324,642,82,106,133,192,76,40,13,682,78,120,95,202,113,60,14
"형법범",강력범죄(폭력),협박,222,107,7,18,21,31,18,5,7,115,14,15,15,31,26,8,6,257,131,16,37,16,34,18,8,2,126,6,28,24,38,19,6,5,250,95,7,21,9,33,16,4,5,155,19,19,30,47,25,10,5,252,104,16,17,18,35,14,4,0,148,19,37,16,37,18,15,6
"형법범",강력범죄(폭력),공갈,945,465,74,103,88,131,31,30,8,480,70,103,66,142,71,23,5,906,469,83,106,96,112,50,15,7,437,93,94,61,125,41,20,3,642,278,61,55,47,80,22,9,4,364,58,86,45,115,36,17,7,725,305,53,76,61,80,24,10,1,420,65,94,52,145,41,19,4
"형법범",강력범죄(폭력),약취와유인,7,5,1,-,3,1,-,-,-,2,1,1,-,-,-,-,-,9,3,-,-,3,-,-,-,-,6,-,-,2,2,2,-,-,3,-,-,-,-,-,-,-,-,3,-,-,1,1,-,1,-,11,6,2,0,1,3,0,0,0,5,2,0,1,0,2,0,0
